name,category,subtype,operator,state,district,latitude,longitude,capacity,fuel_or_resource,source,data_quality
NFL Nangal,industrial,fertiliser,NFL,Punjab,Rupnagar,31.3800,76.3700,0,fertiliser,reference_public,approximate
NFL Bathinda,industrial,fertiliser,NFL,Punjab,Bathinda,30.2000,74.9000,0,fertiliser,reference_public,approximate
Paradeep Phosphates,industrial,fertiliser,PPL,Odisha,Jagatsinghpur,20.2800,86.6500,0,fertiliser,reference_public,approximate
Coromandel Visakhapatnam,industrial,fertiliser,Coromandel International,Andhra Pradesh,Visakhapatnam,17.6800,83.2500,0,fertiliser,reference_public,approximate
SPIC Tuticorin,industrial,fertiliser,SPIC,Tamil Nadu,Thoothukudi,8.7800,78.1700,0,fertiliser,reference_public,approximate
FACT Udyogamandal,industrial,fertiliser,FACT,Kerala,Ernakulam,10.0700,76.3000,0,fertiliser,reference_public,approximate
RCF Thal,industrial,fertiliser,RCF,Maharashtra,Raigad,18.6900,72.8800,0,fertiliser,reference_public,approximate
Chambal Fertilisers Gadepan,industrial,fertiliser,Chambal Fertilisers,Rajasthan,Kota,25.3500,76.0000,0,fertiliser,reference_public,approximate
IFFCO Aonla,industrial,fertiliser,IFFCO,Uttar Pradesh,Bareilly,28.2700,79.2100,0,fertiliser,reference_public,approximate
IFFCO Phulpur,industrial,fertiliser,IFFCO,Uttar Pradesh,Prayagraj,25.5500,82.1000,0,fertiliser,reference_public,approximate
HURL Gorakhpur,industrial,fertiliser,HURL,Uttar Pradesh,Gorakhpur,26.8300,83.3000,0,fertiliser,reference_public,approximate
NFL Panipat,industrial,fertiliser,NFL,Haryana,Panipat,29.4000,76.9200,0,fertiliser,reference_public,approximate
HURL Barauni,industrial,fertiliser,HURL,Bihar,Begusarai,25.4400,86.0300,0,fertiliser,reference_public,approximate
BVFCL Namrup,industrial,fertiliser,BVFCL,Assam,Dibrugarh,27.2000,95.3300,0,fertiliser,reference_public,approximate
Assam Gas Cracker Lepetkata,industrial,chemical,BCPL,Assam,Dibrugarh,27.4000,94.9000,0,petrochemical,reference_public,approximate
ACC Jamul Cement Works,industrial,cement,ACC,Chhattisgarh,Durg,21.2300,81.4200,0,cement,reference_public,approximate
UltraTech Awarpur Cement Works,industrial,cement,UltraTech,Maharashtra,Chandrapur,19.7000,79.5500,0,cement,reference_public,approximate
Shree Cement Beawar,industrial,cement,Shree Cement,Rajasthan,Ajmer,26.1000,74.3200,0,cement,reference_public,approximate
Ambuja Cement Ambujanagar,industrial,cement,Ambuja Cements,Gujarat,Gir Somnath,20.8500,70.5500,0,cement,reference_public,approximate
Dalmia Cement Dalmiapuram,industrial,cement,Dalmia Bharat,Tamil Nadu,Tiruchirappalli,10.9500,78.8000,0,cement,reference_public,approximate
Ramco Alathiyur Cement Works,industrial,cement,Ramco,Tamil Nadu,Ariyalur,11.1800,79.1000,0,cement,reference_public,approximate
Nuvoco Sonadih Cement Plant,industrial,cement,Nuvoco,Chhattisgarh,Baloda Bazar,21.6300,82.3000,0,cement,reference_public,approximate
Star Cement Lumshnong,industrial,cement,Star Cement,Meghalaya,East Jaintia Hills,25.1500,92.3500,0,cement,reference_public,approximate
Wonder Cement Nimbahera,industrial,cement,Wonder Cement,Rajasthan,Chittorgarh,24.6200,74.6800,0,cement,reference_public,approximate
Penna Cement Tadipatri,industrial,cement,Penna Cement,Andhra Pradesh,Anantapur,14.9100,77.9800,0,cement,reference_public,approximate
Vadinar Crude Oil Terminal Tank Farm,storage,tank_farm,Indian Oil Corporation,Gujarat,Devbhumi Dwarka,22.4400,69.7400,0,crude_storage,reference_public,approximate
Kandla Oil Storage Terminal,storage,tank_farm,Various,Gujarat,Kutch,23.0200,70.2100,0,petroleum_storage,reference_public,approximate
Mangalore Strategic Petroleum Reserve,storage,spr,ISPRL,Karnataka,Dakshina Kannada,12.9400,74.8700,0,crude_storage,reference_public,approximate
Padur Strategic Petroleum Reserve,storage,spr,ISPRL,Karnataka,Udupi,13.1200,74.7800,0,crude_storage,reference_public,approximate
Visakhapatnam Strategic Petroleum Reserve,storage,spr,ISPRL,Andhra Pradesh,Visakhapatnam,17.6800,83.2600,0,crude_storage,reference_public,approximate
Wadala Sewri Tank Farm,storage,tank_farm,Various,Maharashtra,Mumbai,19.0000,72.8700,0,petroleum_storage,reference_public,approximate
Haldia Oil Jetty Tank Farm,storage,tank_farm,Various,West Bengal,Purba Medinipur,22.0400,88.1000,0,petroleum_storage,reference_public,approximate
Ennore Tank Farm,storage,tank_farm,Various,Tamil Nadu,Chennai,13.2400,80.3200,0,petroleum_storage,reference_public,approximate
Puthuvype Petroleum Terminal,storage,tank_farm,Indian Oil Corporation,Kerala,Ernakulam,9.9900,76.2400,0,lpg_storage,reference_public,approximate
Mundra Tank Farm,storage,tank_farm,Various,Gujarat,Kutch,22.7600,69.6800,0,petroleum_storage,reference_public,approximate
Paradip Tank Farm,storage,tank_farm,Indian Oil Corporation,Odisha,Jagatsinghpur,20.2900,86.6600,0,petroleum_storage,reference_public,approximate
Sitapura Oil Terminal Jaipur,storage,tank_farm,Indian Oil Corporation,Rajasthan,Jaipur,26.7900,75.8500,0,petroleum_storage,reference_public,approximate
